,chek_acc,month_duration,credit_history,purpose,Credit_amo,saving_amo,present_employmment,instalrate,p_status,guatan,present_resident,property,age,installment,Housing,existing_cards,job,no_people,telephn,foreign_worker,target
786,4,3,3,5,3,3,5,2,3,1,3,3,2,3,2,1,3,1,1,1,2
152,3,4,3,5,4,1,3,3,3,1,1,3,1,3,2,1,3,1,1,1,2
925,1,1,2,1,1,1,2,3,3,1,1,3,2,1,2,2,3,1,2,1,1
501,1,4,3,2,4,1,5,1,3,1,3,4,2,3,3,1,3,2,1,1,2
920,4,2,5,4,2,1,3,3,2,1,1,4,2,3,2,2,3,1,1,1,2
827,4,2,1,10,4,1,3,1,3,1,1,3,2,2,2,2,3,2,1,1,1
848,1,1,3,5,1,1,4,2,3,1,3,1,2,3,2,1,3,1,1,1,2
671,4,4,3,10,4,2,4,1,3,1,1,3,2,3,2,2,3,1,2,1,2
687,2,4,4,1,3,2,5,3,3,1,2,4,2,3,3,1,3,1,1,1,2
108,1,3,3,4,4,5,2,1,2,1,1,2,2,3,2,1,3,1,2,2,2
32,2,2,3,1,4,2,3,1,3,1,1,3,2,3,2,2,3,1,2,1,2
195,2,1,5,8,2,1,5,1,2,1,2,3,2,3,2,2,4,1,2,1,1
405,2,3,3,5,2,1,2,1,4,1,1,2,1,3,2,1,3,1,2,1,1
272,2,4,2,1,4,5,1,3,3,2,3,4,2,3,3,1,4,1,2,1,2
54,2,4,4,1,2,1,5,3,3,1,3,4,2,1,3,2,3,1,2,1,1
753,4,4,5,5,4,1,4,3,2,1,1,3,1,3,2,2,3,1,1,1,2
814,1,4,3,1,3,1,4,3,3,1,3,4,2,3,3,1,3,2,1,1,1
910,4,4,4,5,4,1,3,3,2,1,3,1,2,3,2,2,3,1,1,1,2
529,1,1,3,1,1,1,2,2,3,1,3,1,2,3,2,1,2,2,2,1,2
23,2,1,5,2,2,2,2,2,3,1,3,2,2,3,2,1,3,1,1,1,2
913,4,1,3,10,2,4,5,1,1,1,1,1,2,3,2,1,3,1,2,1,2
109,2,2,3,10,2,3,5,1,4,1,1,1,2,3,2,1,3,1,2,1,2
279,4,3,3,5,2,2,3,3,3,1,3,3,2,3,1,1,4,1,2,1,2
255,2,4,4,5,4,5,3,1,3,1,1,1,2,3,2,1,2,1,1,1,2
566,1,1,3,1,2,1,4,1,1,1,2,3,2,3,2,1,3,1,1,1,1
681,4,1,3,5,2,5,3,3,3,1,3,4,2,3,3,1,3,1,2,1,2
867,4,1,5,4,3,1,5,1,3,1,3,2,2,2,2,1,3,1,1,1,2
390,4,2,3,1,2,1,3,1,4,1,1,2,2,3,2,1,4,1,2,1,2
329,2,1,3,5,1,1,5,3,3,1,3,3,2,3,2,1,3,2,1,1,2
750,1,1,3,4,1,1,5,1,2,1,1,2,2,1,2,1,3,1,2,1,2
160,4,3,5,5,3,2,5,2,3,1,3,1,2,3,2,1,3,2,2,1,2
609,4,2,3,2,1,5,5,3,3,1,3,4,2,1,3,1,3,2,1,1,2
615,2,4,1,10,4,5,3,1,3,1,1,3,2,1,2,1,4,1,2,1,2
590,1,1,5,5,1,1,4,3,2,1,2,1,2,3,2,4,2,1,2,1,2
412,4,1,5,10,2,1,1,3,3,1,1,3,2,2,2,2,4,1,2,1,1
206,4,1,5,4,2,1,5,3,3,1,3,1,2,3,2,3,3,1,2,1,2
670,4,3,5,10,4,2,3,2,3,1,2,2,2,3,2,2,2,1,2,1,2
482,1,4,3,4,3,4,5,3,2,1,3,2,2,3,1,2,3,1,2,1,2
12,2,1,3,5,2,1,3,1,2,1,1,3,1,3,2,1,3,1,2,1,2
287,2,4,4,3,4,2,1,1,3,1,3,4,2,3,3,1,4,1,2,1,2
854,4,4,4,1,4,1,5,1,3,1,1,3,2,3,2,2,3,2,2,1,2
623,1,1,3,4,2,1,2,3,2,1,1,3,1,3,1,1,3,1,1,1,2
282,3,2,2,5,2,5,4,3,3,1,3,3,2,1,2,1,2,1,1,1,2
576,2,1,3,5,3,1,4,1,2,1,1,1,2,3,2,1,3,1,1,1,2
252,2,4,3,1,2,1,3,3,2,3,1,4,1,1,2,1,3,1,1,1,1
193,4,1,3,5,2,1,4,1,4,1,1,1,2,3,1,1,3,1,1,1,2
838,1,3,5,2,3,1,5,3,3,1,3,2,2,3,2,2,3,1,2,1,2
974,4,4,5,5,3,1,3,3,2,1,1,3,2,3,2,1,3,1,2,1,2
203,1,1,3,9,1,1,4,3,4,1,3,2,1,3,1,1,3,1,1,1,1
425,2,2,3,2,3,1,3,1,4,1,2,3,1,3,1,1,3,1,2,1,2
420,4,2,3,1,3,4,4,1,2,1,2,3,1,3,1,1,3,1,1,1,2
278,4,1,3,4,4,1,2,1,2,1,3,2,2,3,2,1,3,1,1,1,1
