,chek_acc,month_duration,credit_history,purpose,Credit_amo,saving_amo,present_employmment,instalrate,p_status,guatan,present_resident,property,age,installment,Housing,existing_cards,job,no_people,telephn,foreign_worker,target
298,4,2,3,4,3,1,3,2,3,1,3,1,2,3,2,1,3,1,2,1,2
160,4,3,5,5,3,2,5,2,3,1,3,1,2,3,2,1,3,2,2,1,2
268,1,2,3,1,4,1,5,1,1,1,3,2,2,3,2,1,4,1,2,2,1
658,2,4,1,10,4,1,3,1,2,1,1,3,2,3,2,2,3,1,1,1,2
996,1,4,3,2,3,1,3,3,1,1,3,2,2,3,2,1,4,1,2,1,2
641,2,2,3,7,1,1,5,3,3,1,3,3,2,3,2,2,2,1,1,1,2
906,1,3,3,1,3,5,4,1,3,2,1,1,1,3,2,1,2,1,1,2,2
805,1,4,3,1,4,1,4,1,3,1,1,3,1,3,2,1,3,1,2,1,1
893,2,4,5,2,4,1,3,2,3,1,3,3,2,3,2,2,3,1,2,1,2
389,4,1,3,10,2,1,4,2,2,1,1,3,2,3,2,2,3,1,1,1,2
121,4,3,5,2,3,1,5,3,2,1,1,3,2,3,1,2,4,1,2,1,2
837,4,1,3,4,1,1,2,1,2,1,2,1,1,3,1,1,2,2,1,1,2
187,2,2,5,1,1,1,1,1,3,1,2,3,2,3,3,3,1,1,2,1,2
16,4,3,5,5,3,5,5,3,3,1,3,2,2,3,2,2,3,1,1,1,2
773,4,3,5,5,2,2,5,3,3,1,3,2,2,1,2,2,3,1,1,1,2
493,2,1,3,5,1,5,5,3,3,1,3,2,2,3,2,1,3,1,1,1,2
341,1,3,3,4,3,1,4,1,2,1,3,3,2,3,1,1,2,1,1,1,2
426,4,4,5,5,3,1,5,3,3,1,1,3,2,3,2,2,3,1,1,1,2
467,4,4,4,5,4,5,5,2,3,1,2,3,2,1,2,2,3,2,1,1,2
106,4,2,2,1,4,1,5,1,3,1,3,4,2,1,2,2,4,2,2,1,1
408,4,3,3,5,3,3,5,2,1,1,1,3,2,3,2,1,4,1,2,1,2
23,2,1,5,2,2,2,2,2,3,1,3,2,2,3,2,1,3,1,1,1,2
831,1,2,3,1,1,1,2,3,2,1,2,3,1,3,1,1,3,1,2,1,1
69,4,4,3,5,3,5,3,3,2,1,3,3,1,3,2,1,3,1,1,1,2
900,1,2,5,1,3,1,5,1,3,3,3,2,2,1,1,1,3,1,2,1,1
676,4,3,5,4,4,1,5,3,3,1,3,3,2,3,2,1,3,1,2,1,2
801,2,2,5,5,2,1,5,2,2,3,3,1,2,1,1,2,2,1,2,1,2
599,4,3,4,10,3,1,3,1,3,1,1,4,2,3,3,1,3,1,1,1,2
643,4,3,5,5,2,1,4,3,4,3,1,3,2,3,2,2,3,1,2,1,2
339,2,1,3,4,2,1,3,3,1,1,1,3,2,3,2,1,2,1,1,1,2
701,1,4,5,2,4,1,5,3,3,1,3,4,2,3,3,2,3,1,2,1,1
873,4,2,3,6,1,5,2,3,2,1,1,1,1,3,2,1,3,1,1,1,2
74,1,4,3,8,2,5,5,3,3,1,3,4,2,3,2,1,4,1,2,1,1
218,1,3,3,4,3,1,3,1,1,1,1,1,1,3,1,1,2,1,1,1,2
525,2,4,3,2,4,1,2,1,3,1,2,3,2,3,2,2,3,1,1,1,2
265,2,2,3,5,1,1,5,3,3,1,2,3,2,3,2,1,3,2,1,1,1
891,4,2,5,5,2,1,5,3,3,1,3,3,2,3,2,2,3,1,2,1,2
110,2,1,4,10,2,2,5,1,1,1,1,3,2,1,2,2,3,2,1,1,2
435,2,1,3,5,2,5,3,1,4,1,1,1,1,3,2,1,3,1,2,1,1
980,2,4,5,4,4,1,4,1,3,1,1,2,2,3,2,1,3,1,1,1,1
632,2,2,3,5,2,5,2,3,3,1,1,2,1,3,2,1,3,1,1,1,2
185,4,2,5,5,1,1,3,3,3,1,1,2,2,3,2,2,3,1,1,1,2
286,1,4,3,2,4,1,4,3,3,1,2,2,2,3,2,1,3,2,1,1,2
582,4,1,3,4,2,1,3,3,2,1,1,1,2,3,1,1,3,1,1,1,2
899,1,2,3,4,4,1,3,1,3,2,2,3,2,3,2,1,3,1,1,1,1
459,4,2,3,5,4,1,2,2,3,1,1,3,2,3,2,1,3,1,2,1,2
415,4,4,5,2,4,1,5,1,3,1,1,2,2,3,2,2,3,2,2,1,2
61,2,2,5,5,2,5,5,3,3,3,3,1,2,3,2,2,3,1,2,1,2
347,2,3,3,5,3,3,1,1,2,1,3,4,1,3,1,1,1,1,1,1,2
349,2,1,5,8,1,4,5,3,3,1,2,4,2,3,3,2,3,2,1,1,1
731,1,3,3,5,2,1,3,1,3,1,3,1,1,3,1,1,2,2,1,1,1
716,4,4,5,5,3,5,5,2,3,1,1,3,2,3,2,2,3,2,2,1,2
640,1,2,3,8,1,1,1,3,2,1,1,1,2,3,2,1,1,1,1,1,1
804,2,1,3,1,4,5,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2
