,chek_acc,month_duration,credit_history,purpose,Credit_amo,saving_amo,present_employmment,instalrate,p_status,guatan,present_resident,property,age,installment,Housing,existing_cards,job,no_people,telephn,foreign_worker,target
688,4,1,3,5,3,2,5,2,3,2,3,3,2,3,2,1,3,1,2,1,2
178,4,1,3,5,2,1,4,3,3,1,1,3,2,3,1,2,4,2,2,1,2
498,2,2,3,5,1,1,5,3,4,3,1,1,2,3,2,1,2,1,1,1,2
989,2,3,5,5,2,1,5,3,3,1,1,2,2,3,2,2,2,1,1,1,2
648,3,3,3,1,1,1,4,3,3,1,2,4,2,1,3,1,3,2,1,1,1
945,2,4,1,1,4,3,2,1,2,1,1,3,2,3,2,2,3,1,1,1,2
281,4,1,3,4,2,1,3,3,3,1,1,1,2,3,2,1,3,1,1,1,2
789,1,4,5,8,4,1,3,3,3,1,2,4,2,1,2,1,3,1,2,1,1
139,3,1,3,5,2,1,3,1,2,1,1,3,2,3,1,1,2,1,2,1,2
851,4,3,5,2,4,5,4,2,3,1,3,2,2,3,2,2,3,1,2,1,2
956,3,4,5,5,3,5,5,3,3,1,3,2,2,2,2,2,2,1,1,1,2
7,2,4,3,2,4,1,3,1,3,1,1,3,2,3,1,1,4,1,2,1,2
899,1,2,3,4,4,1,3,1,3,2,2,3,2,3,2,1,3,1,1,1,1
612,1,3,3,5,3,4,2,3,2,1,1,3,2,1,2,1,3,1,1,1,2
825,1,3,5,1,2,1,5,3,4,1,2,3,2,3,2,2,3,1,2,1,2
661,1,1,3,1,1,5,3,3,4,1,1,3,1,3,2,1,3,1,1,1,1
354,4,1,3,8,1,3,5,3,3,1,3,4,2,3,3,1,3,1,2,1,2
358,4,1,3,5,1,1,3,3,4,1,1,1,2,3,2,1,3,1,1,1,2
509,4,4,3,2,4,2,5,3,3,1,1,3,2,3,2,1,4,1,2,1,2
451,4,1,3,5,1,1,3,2,2,1,1,1,2,3,2,1,3,1,1,1,2
434,1,1,3,4,2,1,3,2,3,1,1,1,1,3,2,1,3,1,1,1,2
846,4,2,3,1,4,5,3,1,3,1,3,3,2,3,1,2,3,1,1,1,1
791,4,3,3,2,4,5,5,2,3,1,3,3,2,3,2,1,4,2,2,1,2
179,1,3,5,1,1,1,5,3,3,1,3,1,2,3,2,2,3,1,1,1,2
822,1,4,3,4,3,1,5,1,3,1,1,2,2,1,2,1,3,2,1,1,1
42,2,2,4,7,4,1,3,1,3,1,3,1,2,3,2,1,2,2,2,1,2
995,4,1,3,4,2,1,4,2,2,1,3,1,2,3,2,1,2,1,1,1,2
532,4,1,4,2,2,1,3,3,4,1,3,1,2,3,1,1,3,1,1,1,2
